scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,87,2dnr,0.0001472767,38.318659,0.986576,,43.459713
scene_1,87,dataset_3dnr,0.0000854883,40.680932,0.994268,,36.040749
scene_1,87,ghost3dnr,0.0659941956,11.804943,0.632726,,799.325378
scene_1,88,noisy,0.0001675216,37.759292,0.987211,,45.774689
scene_1,88,2dnr,0.0001674810,37.760344,0.987220,,45.768909
scene_1,88,dataset_3dnr,0.0000919711,40.363486,0.994850,,38.215435
scene_1,88,ghost3dnr,0.0752238482,11.236445,0.571647,,507.484955
scene_1,89,noisy,0.0001742527,37.588204,0.987877,,45.965965
scene_1,89,2dnr,0.0001742154,37.589136,0.987883,,45.959568
scene_1,89,dataset_3dnr,0.0000939317,40.271876,0.995342,,40.272533
scene_1,89,ghost3dnr,0.0697501153,11.564551,0.564354,,406.292633
scene_1,90,noisy,0.0001782362,37.490040,0.988412,,47.234539
scene_1,90,2dnr,0.0001782047,37.490808,0.988416,,47.229851
scene_1,90,dataset_3dnr,0.0000964370,40.157562,0.995335,,43.361866
scene_1,90,ghost3dnr,0.0747474357,11.264037,0.540386,,490.057434
scene_1,91,noisy,0.0001841303,37.348748,0.988360,,49.859451
scene_1,91,2dnr,0.0001841020,37.349416,0.988364,,49.857536
scene_1,91,dataset_3dnr,0.0000921938,40.352984,0.995399,,45.161652
scene_1,91,ghost3dnr,0.0641403049,11.928690,0.582461,,524.539368
scene_1,92,noisy,0.0001813063,37.415871,0.988423,,52.027382
scene_1,92,2dnr,0.0001812761,37.416594,0.988427,,52.024780
scene_1,92,dataset_3dnr,0.0000855758,40.676492,0.995378,,47.289803
scene_1,92,ghost3dnr,0.0602130853,12.203091,0.586956,,637.823120
scene_1,93,noisy,0.0001756547,37.553403,0.988261,,52.773838
scene_1,93,2dnr,0.0001756236,37.554170,0.988265,,52.771515
scene_1,93,dataset_3dnr,0.0000751296,41.241888,0.995405,,45.538940
scene_1,93,ghost3dnr,0.0355771631,14.488287,0.654431,,593.346252
