scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,81,ghost3dnr,0.0000529117,42.764487,0.995818,83.015503,81.341812
scene_2,82,noisy,0.0001152322,39.384262,0.986769,767.471863,64.817963
scene_2,82,2dnr,0.0001151879,39.385933,0.986774,765.686707,64.817734
scene_2,82,dataset_3dnr,0.0000426036,43.705540,0.994530,126.386803,56.922756
scene_2,82,ghost3dnr,0.0000542530,42.655761,0.995813,85.247650,82.292603
scene_2,83,noisy,0.0001148791,39.397590,0.986861,773.505188,64.221458
scene_2,83,2dnr,0.0001148352,39.399251,0.986868,771.684814,64.221748
scene_2,83,dataset_3dnr,0.0000423066,43.735916,0.994598,123.578735,57.680752
scene_2,83,ghost3dnr,0.0000545624,42.631068,0.995718,87.121918,84.509773
scene_2,84,noisy,0.0001147278,39.403312,0.987076,769.672546,63.782238
scene_2,84,2dnr,0.0001146843,39.404960,0.987084,767.914673,63.781548
scene_2,84,dataset_3dnr,0.0000429415,43.671224,0.994585,127.822800,56.243305
scene_2,84,ghost3dnr,0.0000620781,42.070618,0.995534,94.094872,87.921906
